source,target
11582761,444155147
11582761,445325905
11582761,445947668
11582761,446297096
11582761,446344256
11582761,446869154
11582761,446939113
11582761,447393512
11582761,449849479
11582761,451236310
11582761,452178180
11582761,452810018
11582761,453640089
11582761,453869352
11582761,454206646
11582761,454428169
11582761,455124966
11582761,456544490
11582761,456921993
11582761,457789115
11582761,459699614
11582761,459806939
11582761,462716514
11582761,466582559
11582761,467548082
11582761,470234152
11582761,470943791
11582761,471010477
11582761,471803883
11582761,472027412
11582761,472295471
11582761,473936728
11582761,475514051
11582761,476311033
11582761,476335547
11582761,479554742
11582761,481107267
11582761,481146348
11582761,481933756
11582761,482703251
11582761,483912793
11582761,485399453
11582761,485591193
11582761,486136352
11582761,487942092
11582761,487970016
11582761,488798191
11582761,489465650
11582761,490289400
11582761,491282219
11582761,491764749
11582761,491864969
11582761,492162845
11582761,494819494
11582761,495385557
11582761,498344165
11582761,499511087
11582761,500858450
11582761,501196009
11582761,502151972
11582761,506167921
11582761,508910309
11582761,510842653
11582761,511492489
11582761,512326395
11582761,514152011
11582761,514300326
11582761,514525950
11582761,515546656
11582761,517127094
11582761,517788275
11582761,522863471
11582761,526263473
11582761,529233750
11582761,529622297
11582761,532082899
11582761,532408024
11582761,534815385
11582761,535472167
11582761,541397610
11582761,543709221
11582761,544288798
11582761,544709412
11582761,544915995
11582761,545471796
11582761,545958977
11582761,549282002
11582761,554406378
11582761,557669143
11582761,558518434
11582761,561902838
11582761,563011696
11582761,564609121
11582761,569361909
11582761,571796306
11582761,573031243
11582761,575911193
11582761,580523177
11582761,586720658
11582761,587459967
11582761,587662712
11582761,590586886
11582761,594277973
11582761,594394039
11582761,597233616
11582761,598051994
11582761,599231467
11582761,599471798
11582761,603905252
11582761,604607578
11582761,605158254
11582761,605694573
11582761,608052341
11582761,608190046
11582761,609812572
11582761,611906471
11582761,620844100
11582761,626429440
11582761,629903117
11582761,631174762
11582761,631848269
11582761,631997781
11582761,634883129
11582761,634916903
11582761,635695858
11582761,636577956
11582761,636917107
11582761,639976958
11582761,642873139
11582761,645599643
11582761,646716577
11582761,647630377
11582761,652018432
11582761,653499923
11582761,654589247
11582761,655694958
11582761,659709883
11582761,660725199
11582761,672778395
11582761,673604446
11582761,676164947
11582761,677669463
11582761,677867955
11582761,680447712
11582761,681190670
11582761,682219251
11582761,688585325
11582761,688691202
11582761,690876111
11582761,691952289
11582761,692407138
11582761,694314214
11582761,697395381
11582761,698750048
11582761,702180450
11582761,703030058
11582761,703305891
11582761,703944713
11582761,704698178
11582761,705699232
11582761,708245691
11582761,708315866
11582761,709428493
11582761,709973657
11582761,710148599
11582761,710165333
11582761,710197546
11582761,710243740
11582761,710255067
11582761,710270738
11582761,710272742
11582761,710290047
11582761,710319917
11582761,710336619
11582761,710368264
11582761,710423294
11582761,710441088
11582761,710631954
11582761,710829555
11582761,710843820
11582761,710869213
11582761,711018646
11582761,711160601
11582761,711418431
11582761,711510718
11582761,711693013
11582761,711818371
11582761,711877703
11582761,711989650
11582761,712172054
11582761,713040860
11582761,713254973
11582761,713708485
11582761,714700368
11582761,715012357
11582761,715260356
